ticket_id,user_id,username,time_arrival,status,channel,error_type,urgency,time_updated,time_closed,resolution_time_hours
TKT-1001,USR-754,sara_k,2024-02-27 12:47:00,closed,slack,website,low,2024-02-27 16:40:44,2024-02-27 20:38:00,7.85
TKT-1002,USR-658,john_d,2024-02-25 15:32:00,closed,telegram,delivery,low,2024-02-26 04:26:47,2024-02-26 21:57:12,30.42
TKT-1003,USR-833,james_x,2024-03-12 08:48:00,closed,telegram,delivery,medium,2024-03-12 14:39:57,2024-03-12 21:02:24,12.24
TKT-1004,USR-448,david_l,2024-03-27 11:05:00,closed,slack,delivery,high,2024-03-27 11:56:44,2024-03-27 13:35:36,2.51
TKT-1005,USR-452,tanvi_b,2024-05-17 11:59:00,closed,telegram,delivery,medium,2024-05-17 15:41:11,2024-05-17 20:47:00,8.8
TKT-1006,USR-949,james_x,2024-01-18 09:42:00,closed,telegram,website,low,2024-01-18 13:35:47,2024-01-18 22:02:24,12.34
TKT-1007,USR-181,neha_t,2024-06-11 19:10:00,closed,slack,billing,low,2024-06-11 22:49:50,2024-06-12 08:04:36,12.91
TKT-1008,USR-373,william_z,2024-05-17 07:15:00,closed,slack,website,medium,2024-05-17 08:23:23,2024-05-17 10:29:24,3.24
TKT-1009,USR-755,william_z,2024-01-15 15:52:00,closed,slack,website,low,2024-01-15 18:11:32,2024-01-15 22:59:48,7.13
TKT-1010,USR-374,john_d,2024-03-21 14:41:00,closed,slack,website,high,2024-03-21 15:37:29,2024-03-21 16:23:00,1.7
TKT-1011,USR-758,liam_j,2024-05-24 01:16:00,closed,slack,billing,low,2024-05-24 07:43:29,2024-05-24 18:39:24,17.39
TKT-1012,USR-697,ethan_h,2024-02-06 00:31:00,closed,telegram,delivery,high,2024-02-06 01:04:36,2024-02-06 03:04:36,2.56
TKT-1013,USR-212,rahul_v,2024-01-17 20:24:00,closed,slack,website,medium,2024-01-17 22:22:01,2024-01-18 01:28:48,5.08
TKT-1014,USR-357,riya_m,2024-06-24 01:48:00,closed,slack,website,medium,2024-06-24 03:28:46,2024-06-24 05:28:48,3.68
TKT-1015,USR-214,ananya_p,2024-03-09 00:48:00,closed,telegram,delivery,medium,2024-03-09 04:51:45,2024-03-09 07:59:24,7.19
TKT-1016,USR-991,james_x,2024-02-20 12:23:00,closed,telegram,website,medium,2024-02-20 15:38:19,2024-02-20 20:12:48,7.83
TKT-1017,USR-897,noah_f,2024-01-05 11:59:00,closed,slack,website,low,2024-01-05 18:13:18,2024-01-05 22:29:00,10.5
TKT-1018,USR-926,ananya_p,2024-05-25 10:05:00,closed,slack,delivery,low,2024-05-25 23:18:43,2024-05-26 11:12:48,25.13
TKT-1019,USR-878,riya_m,2024-05-20 13:16:00,closed,slack,delivery,medium,2024-05-20 16:32:15,2024-05-20 20:39:24,7.39
TKT-1020,USR-316,riya_m,2024-06-21 04:23:00,closed,slack,website,low,2024-06-21 08:58:14,2024-06-21 15:39:12,11.27
TKT-1021,USR-223,neha_t,2024-05-31 01:14:00,closed,slack,delivery,low,2024-05-31 05:44:13,2024-05-31 23:26:00,22.2
TKT-1022,USR-824,james_x,2024-01-09 18:04:00,closed,slack,delivery,low,2024-01-10 00:30:33,2024-01-10 14:45:24,20.69
TKT-1023,USR-597,michael_b,2024-05-27 02:30:00,closed,slack,website,high,2024-05-27 02:59:25,2024-05-27 03:45:36,1.26
TKT-1024,USR-516,michael_b,2024-03-31 21:26:00,closed,slack,delivery,medium,2024-04-01 00:53:22,2024-04-01 04:27:48,7.03
TKT-1025,USR-789,james_x,2024-03-27 11:15:00,closed,slack,delivery,medium,2024-03-27 13:29:03,2024-03-27 16:38:24,5.39
TKT-1026,USR-243,kavya_n,2024-01-20 22:51:00,closed,slack,billing,medium,2024-01-21 01:48:58,2024-01-21 05:54:36,7.06
TKT-1027,USR-151,james_x,2024-03-01 13:26:00,closed,slack,delivery,high,2024-03-01 14:12:45,2024-03-01 16:09:48,2.73
TKT-1028,USR-510,priya_s,2024-04-09 16:59:00,closed,slack,billing,low,2024-04-09 23:47:40,2024-04-10 10:48:48,17.83
TKT-1029,USR-533,william_z,2024-02-25 09:37:00,closed,telegram,delivery,low,2024-02-25 17:16:13,2024-02-26 19:43:36,34.11
TKT-1030,USR-421,priya_s,2024-05-15 13:03:00,closed,slack,website,medium,2024-05-15 14:35:18,2024-05-15 19:40:48,6.63
TKT-1031,USR-290,john_d,2024-04-13 11:56:00,closed,slack,website,high,2024-04-13 12:43:07,2024-04-13 13:45:12,1.82
TKT-1032,USR-140,tanvi_b,2024-05-25 00:20:00,closed,slack,billing,medium,2024-05-25 02:24:34,2024-05-25 07:42:12,7.37
TKT-1033,USR-833,chris_w,2024-06-21 04:19:00,closed,slack,billing,low,2024-06-21 12:17:05,2024-06-21 18:15:24,13.94
TKT-1034,USR-174,alex_m,2024-01-26 10:34:00,closed,telegram,website,high,2024-01-26 11:04:07,2024-01-26 12:12:24,1.64
TKT-1035,USR-457,john_d,2024-04-23 01:45:00,closed,slack,billing,low,2024-04-23 08:55:54,2024-04-23 13:51:00,12.1
TKT-1036,USR-926,james_x,2024-03-18 05:06:00,closed,slack,website,high,2024-03-18 05:43:17,2024-03-18 07:33:00,2.45
TKT-1037,USR-218,sara_k,2024-02-24 06:21:00,closed,slack,billing,low,2024-02-24 11:18:15,2024-02-24 17:16:12,10.92
TKT-1038,USR-370,noah_f,2024-01-14 10:40:00,closed,telegram,billing,high,2024-01-14 11:30:19,2024-01-14 13:22:00,2.7
TKT-1039,USR-103,chris_w,2024-02-12 07:28:00,closed,slack,website,high,2024-02-12 08:07:51,2024-02-12 09:15:24,1.79
TKT-1040,USR-109,sara_k,2024-05-19 09:53:00,closed,slack,website,high,2024-05-19 10:30:23,2024-05-19 11:21:48,1.48
TKT-1041,USR-540,rahul_v,2024-01-11 19:13:00,closed,slack,billing,low,2024-01-12 02:58:27,2024-01-12 11:50:12,16.62
TKT-1042,USR-462,riya_m,2024-03-01 13:51:00,closed,telegram,website,medium,2024-03-01 18:19:52,2024-03-01 21:57:36,8.11
TKT-1043,USR-125,emily_r,2024-03-04 16:10:00,closed,telegram,billing,high,2024-03-04 17:01:39,2024-03-04 19:42:24,3.54
TKT-1044,USR-993,priya_s,2024-04-27 19:19:00,closed,telegram,delivery,low,2024-04-28 15:18:38,2024-04-29 07:46:00,36.45
TKT-1045,USR-328,alex_m,2024-01-18 16:22:00,closed,slack,billing,low,2024-01-18 22:10:17,2024-01-19 08:29:48,16.13
TKT-1046,USR-963,riya_m,2024-03-07 13:37:00,closed,telegram,delivery,low,2024-03-08 01:58:38,2024-03-09 05:59:12,40.37
TKT-1047,USR-211,tanvi_b,2024-03-21 21:38:00,closed,telegram,billing,medium,2024-03-22 00:09:35,2024-03-22 07:53:36,10.26
TKT-1048,USR-690,michael_b,2024-01-02 00:59:00,closed,telegram,delivery,medium,2024-01-02 06:47:39,2024-01-02 13:13:24,12.24
TKT-1049,USR-859,isha_s,2024-06-19 18:39:00,closed,slack,billing,medium,2024-06-19 21:12:01,2024-06-19 23:22:48,4.73
TKT-1050,USR-837,ananya_p,2024-04-14 06:18:00,closed,telegram,website,medium,2024-04-14 08:08:15,2024-04-14 12:56:24,6.64
TKT-1051,USR-780,ethan_h,2024-04-14 01:53:00,closed,slack,website,medium,2024-04-14 02:41:09,2024-04-14 04:26:00,2.55
TKT-1052,USR-540,oliver_q,2024-06-21 14:32:00,closed,telegram,billing,medium,2024-06-21 18:38:09,2024-06-21 21:51:12,7.32
TKT-1053,USR-915,isha_s,2024-05-12 05:40:00,closed,slack,website,low,2024-05-12 08:46:50,2024-05-12 18:47:12,13.12
